Chemical,TypicalUse,HealthHazard,FireHazard,Reactivity,PPE,FirstAid,Neutralization,Flammable,WaterReactive,CriticalAlert,IsolationBaseMeters,VerificationNote,SourceType
Sodium Bisulfite,Dechlorination / lab reagent,2,0,1,Gloves; goggles; dust or vapor protection as needed,Move to fresh air; flush eyes/skin with water,Contain spill; keep away from acids,No,No,May release sulfur dioxide with acids.,120,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
Sodium Sulfide,Wastewater / lab reagent,3,1,2,Gloves; goggles; face shield; respiratory protection if gas risk,Move to fresh air; flush eyes/skin with water; seek care,Keep away from acids; contain dry material,Yes,No,May release toxic hydrogen sulfide gas with acids.,180,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
Hydrogen Sulfide,Wastewater confined-space gas,4,4,0,Positive-pressure SCBA; full protective equipment,Move to fresh air immediately; rescue only with proper protection; seek urgent care,Evacuate; eliminate ignition sources; trained response only,Yes,No,Highly toxic and flammable gas.,300,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
Methanol,Lab solvent / field preservation,2,3,0,Gloves; goggles; use in ventilated area,Move to fresh air; rinse skin/eyes; seek medical attention if ingested,Use inert absorbent; eliminate ignition sources,Yes,No,Flammable liquid. Toxic if swallowed.,150,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
Ethanol,Lab solvent / disinfection,2,3,0,Gloves; goggles,Move to fresh air; rinse eyes/skin,Use inert absorbent; remove ignition sources,Yes,No,Highly flammable liquid.,120,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
Acetone,Lab solvent / cleaning,2,3,0,Gloves; goggles,Move to fresh air; rinse eyes/skin,Use inert absorbent; eliminate ignition sources,Yes,No,Highly flammable liquid; vapors may travel.,150,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
Benzene,Fuel / contamination scenario,3,3,0,Gloves; goggles; respirator if vapors present,Move to fresh air; rinse skin; seek medical attention,Use non-sparking tools; absorb with inert material,Yes,No,Highly flammable. Carcinogenic exposure concern.,150,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
Toluene,Fuel / solvent contamination,2,3,0,Gloves; goggles; respirator if poorly ventilated,Move to fresh air; rinse skin/eyes,Use non-sparking tools; absorb with inert material,Yes,No,Flammable vapor hazard.,150,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
Xylene,Fuel / solvent contamination,2,3,0,Gloves; goggles; respirator if needed,Move to fresh air; rinse skin/eyes,Use inert absorbent; remove ignition sources,Yes,No,Flammable liquid and vapor.,150,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
Diesel Fuel,Field equipment / spill scenario,2,2,0,Gloves; goggles,Move to fresh air; wash exposed skin,Contain with absorbent booms/pads; prevent waterway entry,Yes,No,Combustible liquid. Environmental release hazard.,120,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
Gasoline,Field equipment / spill scenario,2,3,0,Gloves; goggles,Move to fresh air; rinse skin/eyes,Use absorbent; eliminate ignition sources,Yes,No,Extremely flammable vapor hazard.,200,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
Ammonium Nitrate,Fertilizer runoff / storage hazard,2,0,3,Gloves; goggles; dust mask,Move to fresh air; flush eyes/skin,Contain material; avoid contamination with fuels/organics,No,No,Oxidizer; heating/confined fire may cause explosion.,180,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
Potassium Permanganate,Oxidant / treatment,3,0,2,Gloves; goggles; face shield if splash risk,Flush eyes/skin with water; move to fresh air if dust inhaled,Keep away from organics/reducing agents; contain dry material,No,No,Strong oxidizer.,150,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
